"IDCUENTABANCO","DESCRIPCION","NROCUENTA","IDMONEDA"
"1","ATLAS","00813000325","GS"
"2","CONTINENTAL","05033914605","GS"
"3","SUDAMERIS","151605732 Gs.","GS"
"4","SUDAMERIS","151605732 $","US"
"5","HSBC","001083286001","GS"
"6","REGIONAL","4000268554","GS"
"7","BBVA","040001031362","GS"
"8","CONTINENTAL","05073074101 $","US"
"9","BANCO BASA","0113010534 GS","GS"
"10","ITAU","750000716 $","US"
"11","ITAU","701026354","GS"
"12","REGIONAL S-4","31107567746","GS"
"13","FINEXPAR","Null","GS"
"14","FINANCIERA RIO","999999","GS"
"15","CITIBANK CTA Gs.","0197730005","GS"
"16","ITAU MCAL GS","701500214","GS"
"17","ITAU MCAL U$S","750500711","US"
"18","ATLAS MCAL GS","813001209","GS"
"19","SSB","1111111111111111111","Null"
"20","SSB","777777","GS"
"21","GNB","001083286001","GS"
"22","DO BRASIL","32959-2","GS"
"23","DO BRASIL","32959-2","GS"
"26","BANCOP","000410011681","GS"
"24","DO BRASIL","000329592","GS"
"25","DO BRASIL","","GS"
"27","INTERFISA","50000396 Gs","GS"
"28","EL COMERCIO","999","GS"
"29","FINANCIERA SOLAR","9999","GS"
