Empresa,Yhaguy Repuestos
,
IDMOVIMIENTO,NRO_FACTURA
2283675,213085
2283677,213086
2283678,213087
2283679,213088
2283680,213089
2283681,213090
2283682,213091
2283683,213092
2283684,213093
2036290,2479
2041149,2488
2042856,2491
2044067,2496
2048787,2503
2081727,2537
2093645,2560
2110659,2593
2116117,2603
2120702,2608
2124357,2619
2276113,213063
2036879,2483
2063353,2516
2077695,2534
2087198,2549
2088737,2555
2093628,2556
2093629,2557
2095604,2562
2095608,2563
2095613,2564
2097482,2568
2097485,2569
2101545,2576
2103940,2582
2103942,2583
2103943,2584
2108608,2586
2108612,2587
2109398,2591
2110671,2597
2114601,2600
2117768,2606
2120710,2610
2121909,2615
2122465,2618
2283046,213082
2279464,213072
2281373,213079
1932301,2349
1949953,2368
1964615,2381
2017056,2450
2017059,2451
2209379,212944
2213147,212957
2213148,212958
2223232,212972
2223234,212973
2225656,212975
2225658,212976
2135129,2636
2135823,2637
2242639,212996
1940123,2356
1970895,2389
1992127,2415
1993752,2417
1997683,2421
2016624,2448
2027737,2468
2046059,2498
2000970,2429
2008108,2434
2008112,2435
2009217,2440
2015476,2447
2021092,2454
2027202,2466
2036876,2482
2044062,2495
2283056,213083
2283057,213084
2179327,2688
2183935,212904
2186126,212904
2188011,212904
2192038,212904
2192062,212904
2192065,212904
2195180,212904
2197122,212905
2201148,212919
2203192,212929
2203194,212930
2208218,212943
2273312,213061
2280088,213073
1967000,2385
2095617,2565
2101547,2577
2108753,2589
2116110,2601
2117884,2607
2135098,2634
2216600,212962
